Close,Volume,Intra-day variation,Day of Week,Change,RSI (14),20-VWAP,Month,Day,BUY/NO_BUY 5=>15,QuoteDate,5 Day Profit,10 Day Profit,15 Day Profit,30 Day Profit
33.080002,159500,0.739998,5,-0.339995999999999,38.3302955507567,33.6733619175205,7,7,-1,'2006-07-07',-0.09008,-0.10701,-0.05441,-0.033252779126192
33.02,77900,0.400001999999994,1,-0.060001999999997,37.9796193574384,33.5974692866643,7,10,-1,'2006-07-10',-0.09600,-0.07329,-0.05936,-0.056329497274379
32.580002,276100,0.519995999999999,2,-0.439998000000003,35.4205114289656,33.5815051803399,7,11,-1,'2006-07-11',-0.09761,-0.05064,-0.05402,-0.043278143445172
31.68,211700,0.960001000000002,3,-0.900002000000001,30.8426087600745,33.5894699953215,7,12,-1,'2006-07-12',-0.03093,-0.02588,-0.01768,-0.043560637626263
31.17,317800,0.600000999999999,4,-0.509999999999998,28.5878282292864,33.5397080748551,7,13,-1,'2006-07-13',-0.05165,-0.02278,0.03978,-0.017324382418993
30.1,1091100,0.5,5,-1.07,24.5351656143138,33.110393752312,7,14,-1,'2006-07-14',-0.01860,0.03920,0.07641,0.023255780730897
29.85,362200,0.66,1,-0.25,23.6901438432155,32.9145677785334,7,17,1,'2006-07-17',0.02513,0.04054,0.09347,0.046231155778895
29.4,2681700,1.219999,2,-0.450000000000003,22.2075034397663,32.0804882884683,7,18,1,'2006-07-18',0.05204,0.04830,0.07551,0.063945612244898
30.700001,2425200,1.400002,3,1.300001,34.8857704850036,31.7769165264046,7,19,-1,'2006-07-19',0.00521,0.01368,-0.01303,0.014657947405279
29.559999,1214200,1.279999,4,-1.140002,30.2326433669494,31.4553357654106,7,20,1,'2006-07-20',0.03045,0.09641,0.03146,0.062246314690335
29.540001,1037000,0.949999000000002,5,-0.019998000000001,30.1566552987314,31.2123456469985,7,21,-1,'2006-07-21',0.05890,0.09682,0.01523,0.066689198825687
30.6,1511500,0.819998999999999,1,1.059999,38.9200351416677,31.1069285354965,7,24,-1,'2006-07-24',0.01503,0.06667,-0.02843,0.027451013071895
30.93,943400,1.280001,2,0.329999999999998,41.3857507363885,30.900838780461,7,25,-1,'2006-07-25',-0.00356,0.02231,-0.00938,-0.02295509214355
30.860001,1044100,0.699999999999999,3,-0.069998999999999,41.0075946638814,30.7812617628532,7,26,-1,'2006-07-26',0.00843,-0.01815,0.02333,-0.005832825475281
30.459999,678000,1.18,4,-0.400002000000001,38.8244592861491,30.7029977468383,7,27,-1,'2006-07-27',0.06402,0.00098,0.04760,0.010177314844955
31.280001,1243100,0.990000000000002,5,0.820001999999999,45.2583235856702,30.6058486654071,7,28,-1,'2006-07-28',0.03581,-0.04124,0.02238,0.001918126537144
31.059999,652100,0.559999000000001,1,-0.220001999999997,43.9236087280947,30.5813715620852,7,31,-1,'2006-07-31',0.05087,-0.04282,0.00322,0.062459789518989
30.82,1600400,0.669999999999998,2,-0.239999000000001,42.4527749280756,30.5469278136562,8,1,-1,'2006-08-01',0.02596,-0.00584,0.01136,0.065866255678131
31.120001,904900,0.640000000000001,3,0.300000999999998,44.9349892069685,30.5105387558983,8,2,-1,'2006-08-02',-0.02635,0.01478,-0.02635,0.055269888969477
32.41,1473700,1.799999,4,1.289999,54.1025675282913,30.6255711951009,8,3,-1,'2006-08-03',-0.05924,-0.01543,-0.05492,0.034865813020673
32.400002,2447100,1.78,5,-0.009997999999996,54.0274913520897,30.8035864389272,8,4,-1,'2006-08-04',-0.07438,-0.01296,-0.04938,0.040123423449171
32.639999,513700,0.779998999999997,1,0.239997000000002,55.6195297308936,30.8376447939679,8,7,-1,'2006-08-07',-0.08915,-0.04534,-0.04320,0.014093107049421
31.620001,1322900,1.259998,2,-1.019998,48.0098879559075,30.8610405905355,8,8,-1,'2006-08-08',-0.03099,-0.01423,-0.01075,0.043643230751321
30.299999,1004000,0.969999999999999,3,-1.320002,40.3215261254741,30.8309336568593,8,9,-1,'2006-08-09',0.04224,0.00000,0.02805,0.065346536810117
30.49,827400,0.560001999999997,4,0.190000999999999,41.7670910037953,30.815325983153,8,10,-1,'2006-08-10',0.04657,0.00459,0.02985,0.076746539849131
29.99,616000,0.569998999999999,5,-0.5,39.0841024297718,30.8264305750982,8,11,1,'2006-08-11',0.06636,0.02701,0.05068,0.121373824608203
29.73,328300,0.699998999999998,1,-0.259999999999998,37.726963002256,30.8261733075071,8,14,1,'2006-08-14',0.04810,0.05045,0.05752,0.153044029599731
30.639999,874600,0.66,2,0.909998999999999,44.9340492225988,30.9877568192361,8,15,-1,'2006-08-15',0.01730,0.02089,-0.01371,0.093994813772677
31.58,992500,1.01,3,0.940000999999999,51.2149061417271,31.048318919473,8,16,-1,'2006-08-16',-0.04053,-0.01362,-0.02850,0.06206462951235
31.91,1227200,0.639999,4,0.330000000000002,53.2316828124521,31.1831737614714,8,17,-1,'2006-08-17',-0.04011,-0.01598,-0.03573,0.025383923534942
31.98,258000,0.630001,5,0.07,53.6692141001489,31.276491488831,8,18,-1,'2006-08-18',-0.03690,-0.01470,-0.02001,0.036272639149469
31.16,1093600,0.559999000000001,1,-0.82,48.0037786993125,31.3211471033574,8,21,-1,'2006-08-21',0.00225,0.00899,0.05905,0.056482605905006
31.17,805500,0.509999999999998,2,0.010000000000002,48.075764857286,31.3335677565693,8,22,-1,'2006-08-22',0.00353,-0.03048,0.05390,0.079884504331087
30.299999,961000,1,3,-0.870001000000002,42.5557539481979,31.3084059060583,8,23,-1,'2006-08-23',0.02805,0.01254,0.08383,0.108910861680226
30.629999,918500,0.600000999999999,4,0.330000000000002,45.1293065756832,31.306018761554,8,24,-1,'2006-08-24',0.02514,0.00457,0.09500,0.088801798524381
30.799999,772900,0.549999,5,0.169999999999998,46.4600195556145,31.2877093555371,8,25,-1,'2006-08-25',0.02305,0.01753,0.09416,0.108766334700206
31.23,1340600,0.549999,1,0.430001000000001,49.7777803809649,31.2912160094908,8,28,-1,'2006-08-28',0.00672,0.05668,0.05988,0.119116266410503
31.280001,332800,0.690000999999999,2,0.050000999999998,50.1645029947667,31.3306792676438,8,29,-1,'2006-08-29',-0.03389,0.05019,0.05499,0.103260770356114
31.15,367900,0.739999999999998,3,-0.130001,49.1057642026609,31.337399124655,8,30,-1,'2006-08-30',-0.01509,0.05425,0.03628,0.139646869983949
31.4,770800,0.680001000000001,4,0.25,51.2371374175388,31.2511874064123,8,31,-1,'2006-08-31',-0.02006,0.06815,0.04554,0.10191076433121
31.51,694200,0.719999999999999,5,0.110000000000003,52.1859572019886,31.0869425685915,9,1,-1,'2006-09-01',-0.00540,0.06950,0.06728,0.099650967946684
31.440001,1274000,0.34,2,-0.069999000000003,51.4992380232354,31.0662064148617,9,5,1,'2006-09-05',0.04962,0.05280,0.09033,0.077926142559601
30.219999,3388200,0.980001999999999,3,-1.220002,41.2988466296893,30.8752187864813,9,6,1,'2006-09-06',0.08703,0.09199,0.10920,0.130708111538984
30.68,3608500,1.610001,4,0.460000999999998,45.6685340603787,30.8693021648572,9,7,1,'2006-09-07',0.07040,0.05215,0.09322,0.109517633637549
30.77,1466300,0.519998000000001,5,0.09,46.5075394108681,30.8769172479607,9,8,1,'2006-09-08',0.09002,0.06695,0.06337,0.095222651933702
31.34,1554700,1.34,1,0.57,51.6047552876296,30.9319016283733,9,11,1,'2006-09-11',0.07530,0.07307,0.05743,0.065411582641991
33,3755600,1.649997,2,1.66,62.7400286708896,31.2403799576527,9,12,-1,'2006-09-12',0.00303,0.03879,-0.00242,0.026969666666667
32.849998,1152000,0.560001999999997,3,-0.150002000000001,61.3659880568597,31.3293790588372,9,13,-1,'2006-09-13',0.00457,0.02040,0.02466,0.051446060970841
32.84,801800,0.819999999999993,4,-0.009997999999996,61.2696714499404,31.3656385133495,9,14,-1,'2006-09-14',-0.01705,0.02132,0.02314,0.072472624847747
33.540001,5425500,0.880001,5,0.700000999999993,65.3681219855423,31.7276454892168,9,15,-1,'2006-09-15',-0.02117,-0.02445,-0.00566,0.028622509581917
33.700001,1511100,0.879997000000003,1,0.160000000000004,66.2473122771202,31.8187620196215,9,18,-1,'2006-09-18',-0.00208,-0.01662,0.01335,0.026112788542647
33.099998,1508000,1.280003,2,-0.600003000000001,60.0869645338787,31.9006050985285,9,19,-1,'2006-09-19',0.03565,-0.00544,0.05589,0.036253808837088
33,763200,0.660000000000004,3,-0.099997999999999,59.1005687644064,31.9447097153573,9,20,-1,'2006-09-20',0.01576,0.02000,0.04576,0.026666696969697
32.279999,3060100,1.23,4,-0.720001000000003,52.4270780763977,32.0203359208656,9,21,1,'2006-09-21',0.03903,0.04089,0.09975,0.039653099121843
32.830002,1409600,1.009998,5,0.550003000000004,56.4706078319789,32.0895144666255,9,22,-1,'2006-09-22',-0.00335,0.01584,0.05391,0.010660919240882
33.630001,1630800,1.349999,1,0.799999,61.5851735301161,32.1874852432062,9,25,-1,'2006-09-25',-0.01457,0.01546,0.03033,-0.009217989615879
34.279999,2992300,1.130001,2,0.649997999999997,65.1663999477624,32.3888612028804,9,26,-1,'2006-09-26',-0.03967,0.01954,-0.01138,-0.033547200511879
33.52,1689400,1.389999,3,-0.759998999999993,58.3203691022442,32.4475871084896,9,27,-1,'2006-09-27',0.00418,0.02953,0.01939,-0.019988126491647
33.540001,703600,0.829998000000003,4,0.020000999999994,58.4440980181363,32.4794056543743,9,28,-1,'2006-09-28',0.00179,0.05844,0.01491,-0.037567142588934
32.720001,523100,1.079998,5,-0.819999999999993,51.6716387112041,32.5040217446212,9,29,-1,'2006-09-29',0.01925,0.05746,0.02995,0.018948624115262
33.139999,796600,1.049999,1,0.419998,54.5751109145254,32.5346942495617,10,2,-1,'2006-10-02',0.03048,0.04556,0.00754,0.004224502239725
32.919998,834700,0.620003000000004,2,-0.220001000000003,52.7861625320248,32.5791854431149,10,3,1,'2006-10-03',0.06166,0.02947,0.02947,0.057108174793935
33.66,1547700,1.270001,3,0.740001999999997,57.7973002556888,32.8423208031366,10,4,-1,'2006-10-04',0.02525,0.01515,0.02614,0.05228752228164
33.599998,437600,1.029999,4,-0.060001999999997,57.2665556152372,33.0846747200011,10,5,-1,'2006-10-05',0.05655,0.01310,0.04821,0.064880986004821
33.349998,909900,0.339999999999996,5,-0.25,55.000334104002,33.1948147555208,10,6,-1,'2006-10-06',0.03748,0.01049,0.03448,0.071064561982882
34.150002,723500,1.220002,1,0.800004000000001,60.4007268215704,33.3059145616436,10,9,-1,'2006-10-09',0.01464,-0.02225,0.01259,0.03513897305189
34.950001,3616400,0.799999,2,0.799999,64.9328203234894,33.5273644186329,10,10,-1,'2006-10-10',-0.03033,-0.03033,-0.01860,0.021173046604491
